"","track.name","instrumentalness","danceability","acousticness","energy","tempo","speechiness","valence","Playlist"
"65","Kings & Queens",0,0.638,0.00775,0.688,129.856,0.0407,0.434,"Happy"
"66","Lean On Me",0,0.799,0.412,0.419,156.055,0.174,0.716,"Happy"
"67","Best Is Yet To Come (with Kyle Reynolds)",0,0.569,0.0148,0.85,122.042,0.0369,0.551,"Happy"
"68","Starstruck",0,0.555,0.011,0.879,113.852,0.0983,0.691,"Happy"
"69","Rain On Me (with Ariana Grande)",0,0.672,0.021,0.855,123.056,0.0397,0.646,"Happy"
"70","Hailey",0,0.462,0.0367,0.745,100.042,0.0699,0.254,"Happy"
"71","You (with Marshmello & Vance Joy)",0,0.668,0.0493,0.563,103.116,0.0522,0.305,"Happy"
"72","Dynamite",0,0.746,0.0112,0.765,114.044,0.0993,0.737,"Happy"
"73","Smile",0,0.783,0.0238,0.912,98.025,0.243,0.749,"Happy"
"74","Someone",8.03e-06,0.7,0.0531,0.904,103.039,0.0431,0.347,"Happy"
"75","Over It",0,0.747,0.101,0.829,119.982,0.106,0.793,"Happy"
"76","Peaches (feat. Daniel Caesar & Giveon)",0,0.677,0.321,0.696,90.03,0.119,0.464,"Happy"
"77","Best Of You (feat. Elle King)",0,0.653,0.0515,0.623,175.884,0.0938,0.48,"Happy"
"78","Freedom",0,0.715,0.127,0.635,112.887,0.0791,0.39,"Happy"
"79","Sing It With Me",0,0.54,0.0744,0.793,112.219,0.0493,0.399,"Happy"
"80","Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album",0,0.696,0.262,0.686,115.982,0.0309,0.7,"Happy"
"81","Manila",0,0.678,0.234,0.735,150.091,0.0617,0.71,"Happy"
"82","Year of the Young",1.01e-05,0.611,0.000817,0.88,144.996,0.0378,0.771,"Happy"
"83","Love Not War (The Tampa Beat)",0,0.738,0.105,0.85,98.013,0.0642,0.865,"Happy"
"84","Wave of You",0,0.695,0.057,0.656,90.986,0.0489,0.346,"Happy"
"85","Broke Boy",0,0.796,0.164,0.694,98.005,0.234,0.847,"Happy"
"86","My Way (Steve Aoki & Aloe Blacc)",0,0.585,0.11,0.82,169.895,0.0774,0.396,"Happy"
"87","One Too Many",0,0.697,0.247,0.535,82.959,0.068,0.594,"Happy"
"88","Body Back (feat. Maia Wright)",1.33e-06,0.686,0.0948,0.83,123.032,0.0369,0.486,"Happy"
"89","Dynamite",0,0.624,0.0704,0.86,100.897,0.124,0.816,"Happy"
"90","I'll Wait",1.7e-05,0.611,0.144,0.651,122.983,0.0589,0.351,"Happy"
"91","Never Felt A Love Like This (with Hook N Sling) [feat. Dotan]",0.00359,0.58,0.0304,0.804,126.005,0.0279,0.137,"Happy"
"92","Fingertips",0,0.718,0.07,0.693,88.026,0.0252,0.691,"Happy"
"93","Savage Love (Laxed - Siren Beat)",0,0.795,0.243,0.48,149.919,0.0688,0.723,"Happy"
"94","Who's Laughing Now",3.63e-06,0.648,0.00565,0.641,184.021,0.0389,0.505,"Happy"
"95","Iko Iko (My Bestie)",2.01e-06,0.862,0.131,0.753,105.039,0.0625,0.827,"Happy"
"96","Glorious",0,0.756,0.155,0.54,108.274,0.125,0.642,"Happy"
"97","Perfect (feat. Haris)",0,0.751,0.0955,0.657,118.029,0.0989,0.532,"Happy"
"98","2step",0,0.763,0.169,0.661,95.002,0.056,0.632,"Happy"
"99","Rewrite The Stars (with James Arthur & Anne-Marie)",0,0.67,0.237,0.743,125.944,0.0393,0.571,"Happy"
"100","Nobody",0,0.665,0.682,0.471,160.785,0.255,0.562,"Happy"
"101","It'll Be Okay",0.000146,0.398,0.616,0.286,78.262,0.033,0.0666,"Sad"
"102","london (with Cam)",0.000186,0.541,0.59,0.494,83.835,0.0401,0.212,"Sad"
"103","Bottle of Advil",0,0.648,0.888,0.318,113.075,0.0302,0.68,"Sad"
"104","if you hate me, say it",4.67e-05,0.608,0.303,0.224,102.092,0.0287,0.203,"Sad"
"105","LOVE ME OR LEAVE ME",0,0.732,0.524,0.459,130.136,0.0898,0.481,"Sad"
"106","People Watching",0,0.53,0.385,0.593,125.723,0.0545,0.538,"Sad"
"107","Remember That Night?",9.51e-05,0.679,0.585,0.61,123.978,0.0305,0.554,"Sad"
"108","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",0,0.631,0.274,0.518,93.023,0.0303,0.205,"Sad"
"109","Happier Than Ever",0.00349,0.332,0.767,0.225,81.055,0.0348,0.297,"Sad"
"110","Never the 1",0,0.483,0.906,0.27,78.49,0.266,0.33,"Sad"
"111","What A Time (feat. Niall Horan)",0,0.516,0.662,0.467,132.861,0.0302,0.386,"Sad"
"112","Falling",1.46e-06,0.567,0.839,0.267,110.011,0.0299,0.0592,"Sad"
"113","I GUESS I'M IN LOVE",1.77e-05,0.422,0.877,0.34,77.213,0.0351,0.223,"Sad"
"114","Heather",0,0.357,0.584,0.425,102.078,0.0333,0.27,"Sad"
"115","wish i loved you in the 90s",0,0.435,0.871,0.481,77.398,0.0327,0.38,"Sad"
"116","July",0,0.708,0.868,0.186,72.541,0.0422,0.321,"Sad"
"117","GHOST TOWN",0,0.391,0.389,0.335,174.185,0.0763,0.116,"Sad"
"118","Set Me Free",0,0.449,0.256,0.39,130.11,0.0363,0.123,"Sad"
"119","Easy On Me",0,0.604,0.578,0.366,141.981,0.0282,0.13,"Sad"
"120","when was it over? (feat. Sam Hunt)",1.91e-06,0.626,0.816,0.453,129.958,0.0306,0.494,"Sad"
"121","All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios",0,0.585,0.838,0.286,93.009,0.0312,0.189,"Sad"
"122","Astronomy",2.11e-05,0.471,0.593,0.335,145.252,0.0273,0.111,"Sad"
"123","feel like shit",0,0.508,0.516,0.378,144.962,0.0473,0.161,"Sad"
"124","drivers license",1.31e-05,0.585,0.721,0.436,143.874,0.0601,0.132,"Sad"
"125","Back to Friends",0,0.749,0.82,0.319,116.828,0.0771,0.216,"Sad"
"126","Best Days",4.21e-06,0.518,0.875,0.318,77.594,0.0749,0.227,"Sad"
"127","exile (feat. Bon Iver)",5.62e-05,0.298,0.778,0.38,75.602,0.0287,0.152,"Sad"
"128","Goodnight",0.000181,0.484,0.603,0.346,79.972,0.0371,0.0974,"Sad"
"129","Fix It to Break It",0,0.493,0.845,0.461,51.414,0.0456,0.35,"Sad"
"130","Talking to the Moon",0,0.498,0.511,0.59,145.867,0.032,0.0784,"Sad"
"131","Love You From a Distance",0,0.333,0.557,0.538,149.377,0.0325,0.63,"Sad"
"132","you broke me first",0,0.667,0.785,0.373,124.148,0.05,0.0823,"Sad"
"133","Walked Through Hell",0,0.508,0.664,0.404,81.713,0.0788,0.129,"Sad"
"134","Water Fountain",7.4e-05,0.723,0.388,0.504,133.975,0.0392,0.551,"Sad"
"135","I miss you, I’m sorry",1.47e-06,0.445,0.731,0.455,109.885,0.0575,0.151,"Sad"
"136","you were good to me",1.98e-05,0.46,0.909,0.0834,98.329,0.0433,0.21,"Sad"
"137","Closure",0,0.696,0.967,0.106,124.168,0.0458,0.35,"Sad"
